{'ce-T:': 74843, 'ce-I:': 62169, 'ce-F:': 13596, 'boogie_result': 12874, 'actual_z3': 27}
{'ce-T:': 62755, 'ce-I:': 57812, 'ce-F:': 25960, 'boogie_result': 13542, 'actual_z3': 17}
{'ce-T:': 89850, 'ce-I:': 32603, 'ce-F:': 29519, 'boogie_result': 16309, 'actual_z3': 13}
{'ce-I:': 3564, 'ce-T:': 2136, 'boogie_result': 854, 'ce-F:': 849, 'actual_z3': 18}
{'ce-I:': 14011, 'ce-T:': 3877, 'boogie_result': 1202, 'ce-F:': 1200, 'actual_z3': 45}
{'ce-I:': 11971, 'ce-T:': 4410, 'boogie_result': 1149, 'ce-F:': 1145, 'actual_z3': 46}
{'ce-I:': 11878, 'ce-T:': 5479, 'boogie_result': 1136, 'ce-F:': 1112, 'actual_z3': 33}
{'ce-I:': 16092, 'ce-T:': 4615, 'boogie_result': 1202, 'ce-F:': 1193, 'actual_z3': 45}
{'ce-I:': 17084, 'ce-T:': 3696, 'boogie_result': 1216, 'ce-F:': 1215, 'actual_z3': 51}
{'ce-I:': 8925, 'ce-T:': 3630, 'boogie_result': 1215, 'ce-F:': 1212, 'actual_z3': 22}
{'ce-I:': 36925, 'ce-T:': 4172, 'boogie_result': 1402, 'ce-F:': 1331, 'actual_z3': 65}
{'ce-I:': 14412, 'ce-T:': 3901, 'boogie_result': 1411, 'ce-F:': 1408, 'actual_z3': 36}
{'ce-I:': 27447, 'ce-T:': 4327, 'boogie_result': 1458, 'ce-F:': 1441, 'actual_z3': 43}
{'ce-I:': 19, 'boogie_result': 16, 'actual_z3': 16, 'ce-T:': 15, 'ce-F:': 5}
{'ce-I:': 784, 'ce-F:': 231, 'boogie_result': 140, 'ce-T:': 138, 'actual_z3': 15}
{'ce-I:': 830, 'ce-F:': 544, 'boogie_result': 279, 'ce-T:': 276, 'actual_z3': 10}
{'ce-I:': 1936, 'ce-F:': 782, 'boogie_result': 344, 'ce-T:': 343, 'actual_z3': 19}
{'ce-I:': 2192, 'ce-F:': 938, 'boogie_result': 457, 'ce-T:': 456, 'actual_z3': 26}
{'ce-I:': 2929, 'ce-F:': 951, 'boogie_result': 503, 'ce-T:': 502, 'actual_z3': 17}
{'ce-I:': 3229, 'ce-F:': 1294, 'boogie_result': 489, 'ce-T:': 488, 'actual_z3': 26}
{'ce-I:': 3554, 'ce-F:': 1554, 'boogie_result': 512, 'ce-T:': 511, 'actual_z3': 27}
{'ce-I:': 1363, 'ce-F:': 914, 'boogie_result': 464, 'ce-T:': 463, 'actual_z3': 17}
{'ce-I:': 3444, 'ce-F:': 1100, 'boogie_result': 538, 'ce-T:': 533, 'actual_z3': 20}
{'boogie_result': 1, 'actual_z3': 1}
{'boogie_result': 1, 'actual_z3': 1}
{'ce-I:': 48, 'boogie_result': 15, 'ce-F:': 11, 'ce-T:': 10, 'actual_z3': 7}
{'boogie_result': 10, 'actual_z3': 10, 'ce-T:': 9, 'ce-I:': 5, 'ce-F:': 1}
{'ce-I:': 67, 'boogie_result': 21, 'ce-T:': 18, 'ce-F:': 17, 'actual_z3': 10}
{'ce-I:': 20, 'boogie_result': 15, 'actual_z3': 14, 'ce-T:': 14, 'ce-F:': 10}
{'boogie_result': 23, 'actual_z3': 23, 'ce-T:': 22, 'ce-I:': 22, 'ce-F:': 3}
{'ce-I:': 268, 'ce-F:': 51, 'boogie_result': 47, 'ce-T:': 46, 'actual_z3': 16}
{'ce-I:': 606, 'ce-F:': 415, 'boogie_result': 155, 'ce-T:': 152, 'actual_z3': 9}
{'ce-I:': 473, 'ce-F:': 454, 'boogie_result': 166, 'ce-T:': 165, 'actual_z3': 15}
{'ce-I:': 19, 'boogie_result': 16, 'actual_z3': 16, 'ce-T:': 15, 'ce-F:': 5}
{'ce-I:': 784, 'ce-F:': 231, 'boogie_result': 140, 'ce-T:': 138, 'actual_z3': 15}
{'ce-I:': 830, 'ce-F:': 544, 'boogie_result': 279, 'ce-T:': 276, 'actual_z3': 10}
{'ce-I:': 1936, 'ce-F:': 782, 'boogie_result': 344, 'ce-T:': 343, 'actual_z3': 19}
{'ce-I:': 2192, 'ce-F:': 938, 'boogie_result': 457, 'ce-T:': 456, 'actual_z3': 26}
{'ce-I:': 2929, 'ce-F:': 951, 'boogie_result': 503, 'ce-T:': 502, 'actual_z3': 17}
{'ce-I:': 3229, 'ce-F:': 1294, 'boogie_result': 489, 'ce-T:': 488, 'actual_z3': 26}
{'ce-I:': 3554, 'ce-F:': 1554, 'boogie_result': 512, 'ce-T:': 511, 'actual_z3': 27}
{'ce-I:': 1363, 'ce-F:': 914, 'boogie_result': 464, 'ce-T:': 463, 'actual_z3': 17}
{'ce-I:': 3444, 'ce-F:': 1100, 'boogie_result': 538, 'ce-T:': 533, 'actual_z3': 20}
{'boogie_result': 1, 'actual_z3': 1}
{'boogie_result': 1, 'actual_z3': 1}
{'ce-I:': 48, 'boogie_result': 15, 'ce-F:': 11, 'ce-T:': 10, 'actual_z3': 7}
{'boogie_result': 10, 'actual_z3': 10, 'ce-T:': 9, 'ce-I:': 5, 'ce-F:': 1}
{'ce-I:': 67, 'boogie_result': 21, 'ce-T:': 18, 'ce-F:': 17, 'actual_z3': 10}
{'ce-I:': 20, 'boogie_result': 15, 'actual_z3': 14, 'ce-T:': 14, 'ce-F:': 10}
{'boogie_result': 23, 'actual_z3': 23, 'ce-T:': 22, 'ce-I:': 22, 'ce-F:': 3}
{'ce-I:': 268, 'ce-F:': 51, 'boogie_result': 47, 'ce-T:': 46, 'actual_z3': 16}
{'ce-I:': 606, 'ce-F:': 415, 'boogie_result': 155, 'ce-T:': 152, 'actual_z3': 9}
{'ce-I:': 473, 'ce-F:': 454, 'boogie_result': 166, 'ce-T:': 165, 'actual_z3': 15}
{'ce-T:': 325, 'boogie_result': 69, 'ce-F:': 65, 'actual_z3': 9}
{'ce-T:': 2744, 'boogie_result': 402, 'ce-F:': 393, 'ce-I:': 327, 'actual_z3': 13}
{'ce-T:': 2424, 'ce-I:': 1973, 'boogie_result': 503, 'ce-F:': 489, 'actual_z3': 14}
